pos	5pC>T
1	0.177047937042618
2	0.107646468818219
3	0.0668715656142312
4	0.0424654234004789
5	0.029048898652492
6	0.020022981199423
7	0.01478453265345
8	0.0114939727322801
9	0.00986928806411621
10	0.00892061528872701
11	0.00786492673096864
12	0.00744837036312029
13	0.00700888932304386
14	0.00674665598405425
15	0.00647130825762342
16	0.00672481752183111
17	0.00616594389186183
18	0.00584010039503689
19	0.00566004621639805
20	0.00563686323420509
21	0.0052156862745098
22	0.00527513749548194
23	0.00513664350619864
24	0.00509047563215695
25	0.00464630491864086
